model,params,errors,r_squared,chi_squared,reduced_chi_squared,residuals,fitted_values,sigma
PA,"[6.843675784300511, 0.2187629261179567, -12.086687259423616]","[0.0901712562123878, 0.002666930847111326, 0.11941535659659927]",0.9619336540704,960.1831847193573,16.274291266429785,"[-0.005694590252570131, -0.00778106267640255, -0.0067810626764025494, -0.013822938566402154, -0.013602760185128404, -0.01648040930103467, -0.0139742830418641, -0.00487704954443724, -0.0037710073598659077, 0.006228992640134101, 0.004099073213579496, 0.01807818252088056, 0.026496478380600208, -0.02049200688456887, -0.03449200688456888, -0.05237744085596929, -0.008421580630906367, -0.004254009054869612, -0.0012237119259916884, -0.0018397213310522575, -0.01048947485787799, -0.025122922514364654, -0.01566988381900447, -0.02031715152749447, -0.007621183964785838, 0.0021222699055566396, -0.0050133870926076796, 0.003986612907392328, 0.01625415338318026, 0.011190041020999963, 0.0041246873323169675, -0.008601467780856464, -0.006601467780856463, -0.003658144389728002, -0.015425027515921008, -0.012285553982078978, -0.009184674097544976, -0.022345024087515597, -0.01634502408751559, -0.03049831819303994, -0.002249257814123329, -0.004249257814123331, -0.005443752281595771, 0.012556247718404245, 0.02464148622408946, 0.00264148622408944, -0.008243254231303121, 0.013756745768696899, -0.12072111248770911, -0.007874070949935641, -0.015083898320327527, -0.028411813766222704, -0.01647364167762888, -0.00636996597983841, -0.0079877791272146, 0.018637206104523463, 0.06463720610452339, -0.01936279389547657, 0.0027428635010380287, -0.0031638264529941784, -0.07316382645299413, -0.033163826452994205]","[0.9986945902525701, 0.9967810626764025, 0.9967810626764025, 0.9928229385664021, 0.9926027601851284, 0.9844804093010346, 0.9719742830418641, 0.9508770495444372, 0.9497710073598659, 0.9497710073598659, 0.9129009267864205, 0.8589218174791194, 0.7805035216193998, 0.6754920068845689, 0.6754920068845689, 0.6703774408559693, 0.9984215806309064, 0.9962540090548696, 0.9992237119259917, 0.9978397213310523, 0.994489474857878, 0.9881229225143646, 0.9756698838190044, 0.9743171515274944, 0.9536211839647858, 0.9168777300944434, 0.9150133870926077, 0.9150133870926077, 0.8587458466168197, 0.7708099589790001, 0.642875312667683, 0.9996014677808565, 0.9996014677808565, 0.998658144389728, 0.996425027515921, 0.996285553982079, 0.991184674097545, 0.9803450240875156, 0.9803450240875156, 0.95749831819304, 0.9232492578141234, 0.9232492578141234, 0.8624437522815958, 0.8624437522815958, 0.8593585137759105, 0.8593585137759105, 0.7662432542313031, 0.7662432542313031, 0.6207211124877091, 0.9978740709499356, 0.9940838983203275, 0.9854118137662227, 0.9674736416776288, 0.9333699659798385, 0.8729877791272146, 0.7723627938954766, 0.7723627938954766, 0.7723627938954766, 0.767257136498962, 0.6131638264529942, 0.6131638264529942, 0.6131638264529942]","[0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.009, 0.009, 0.01, 0.004, 0.004, 0.005, 0.004, 0.004, 0.005, 0.005, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.009, 0.005, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.004, 0.004, 0.004, 0.006, 0.005, 0.01, 0.005, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.005, 0.006, 0.004, 0.01, 0.01, 0.01]"
PC,"[-5.289972397546014, 0.22403051582225636, -11.117320726625277]","[0.04057452357721021, 0.0026946738408807434, 0.1058118118148284]",0.9655785703778879,792.818980658631,13.43760984167171,"[-0.004663513904665795, -0.006401778030696081, -0.0054017780306960805, -0.012295692241040213, -0.012077309258477942, -0.015320013069162308, -0.013788404916546981, -0.006399476088269962, -0.005376116679461473, 0.0046238833205385355, 0.00037451381961750574, 0.013766531033572171, 0.026666383701736573, -0.005067931473741738, -0.01906793147374175, -0.035953893898717504, -0.007193826844017148, -0.0026293130673261667, -9.675996007241228e-05, -8.624426821413067e-05, -0.008092902320692708, -0.0224197572795809, -0.013339976839436218, -0.018060011575912527, -0.006743869445158146, 0.0004479497342028127, -0.00680438761562685, 0.002195612384373158, 0.011855954609854003, 0.006695166630307003, 0.008184398693155015, -0.007525301573460652, -0.00552530157346065, -0.0017156775913926836, -0.012444222091167356, -0.009258825143552696, -0.005098180440076816, -0.017577210310893432, -0.011577210310893427, -0.02619882705094312, 0.00015688100620947498, -0.0018431189937905268, -0.006569750853216205, 0.01143024914678381, 0.023357689942597237, 0.0013576899425972178, -0.012757986596652282, 0.009242013403347737, -0.12362198599852925, -0.004659835967404491, -0.01001867491604358, -0.021388670767632623, -0.00809034797047714, 0.001803437193145574, -0.002407429743754186, 0.019528930967517844, 0.06552893096751777, -0.01847106903248219, 0.0034325716170204856, -0.006005742248961998, -0.07600574224896195, -0.036005742248962025]","[0.9976635139046658, 0.9954017780306961, 0.9954017780306961, 0.9912956922410402, 0.9910773092584779, 0.9833200130691623, 0.9717884049165469, 0.9523994760882699, 0.9513761166794614, 0.9513761166794614, 0.9166254861803825, 0.8632334689664278, 0.7803336162982635, 0.6600679314737418, 0.6600679314737418, 0.6539538938987175, 0.9971938268440171, 0.9946293130673262, 0.9980967599600724, 0.9960862442682141, 0.9920929023206927, 0.9854197572795809, 0.9733399768394362, 0.9720600115759125, 0.9527438694451581, 0.9185520502657972, 0.9168043876156269, 0.9168043876156269, 0.863144045390146, 0.775304833369693, 0.638815601306845, 0.9985253015734606, 0.9985253015734606, 0.9967156775913927, 0.9934442220911673, 0.9932588251435527, 0.9870981804400768, 0.9755772103108934, 0.9755772103108934, 0.9531988270509432, 0.9208431189937906, 0.9208431189937906, 0.8635697508532162, 0.8635697508532162, 0.8606423100574028, 0.8606423100574028, 0.7707579865966523, 0.7707579865966523, 0.6236219859985292, 0.9946598359674045, 0.9890186749160436, 0.9783886707676326, 0.9590903479704771, 0.9251965628068545, 0.8674074297437542, 0.7714710690324822, 0.7714710690324822, 0.7714710690324822, 0.7665674283829795, 0.616005742248962, 0.616005742248962, 0.616005742248962]","[0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.009, 0.009, 0.01, 0.004, 0.004, 0.005, 0.004, 0.004, 0.005, 0.005, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.009, 0.005, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.004, 0.004, 0.004, 0.006, 0.005, 0.01, 0.005, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.005, 0.006, 0.004, 0.01, 0.01, 0.01]"
FA,"[-7.0283800439540265, 0.1024731246355417, -9.418682686196878, 0.5072809018082]","[0.2203404640071071, 0.003990059808798249, 1.0183983372231815, 0.017872773807993382]",0.9794045402007986,462.04465524810206,7.966287159450036,"[0.0026220483052654675, 0.001493104826338354, 0.002493104826338355, -0.004385040608811286, -0.004185278595959407, -0.008682086652878063, -0.009954367947365594, -0.007840139280297254, -0.0070948404998728565, 0.0029051595001271524, -0.01003630086736318, -0.005474328865684663, 0.008144553817610367, 0.01583780110826949, 0.0018378011082694767, -0.011655491078486846, 0.0006797681291711433, 0.0058645305115996305, 0.008019171242574563, 0.009143290174205232, 0.0018772724996235501, -0.012624160905705284, -0.0052883092301018175, -0.010239906929803366, -0.002768750122525643, -0.002182345911228678, -0.009735604778735252, -0.0007356047787352438, 0.0022881576460929143, -0.00032808915989412935, 0.04547296097249964, 0.001031009731249699, 0.003031009731249701, 0.008418138764846206, -0.001046849992550114, 0.0021815757846606054, 0.006957655310888433, -0.006238159265916976, -0.00023815926591697067, -0.01815871822008641, 0.0029032359760383653, 0.0009032359760383635, -0.01055779828356962, 0.007442201716430397, 0.019157264693556386, -0.0028427353064436334, -0.015918462982398296, 0.006081537017601724, -0.08863476733478493, 0.007556626934698163, 0.003523204686035619, -0.007724719033981309, 0.0034662657864875657, 0.00807829782620939, -0.004061557557351381, 0.013550861203501019, 0.05955086120350095, -0.024449138796499015, -0.00240859849393793, 0.011552370035502135, -0.058447629964497816, -0.01844762996449789]","[0.9903779516947345, 0.9875068951736616, 0.9875068951736616, 0.9833850406088113, 0.9831852785959594, 0.976682086652878, 0.9679543679473656, 0.9538401392802972, 0.9530948404998728, 0.9530948404998728, 0.9270363008673632, 0.8824743288656847, 0.7988554461823897, 0.6391621988917305, 0.6391621988917305, 0.6296554910784868, 0.9893202318708288, 0.9861354694884004, 0.9899808287574254, 0.9868567098257948, 0.9821227275003764, 0.9756241609057053, 0.9652883092301018, 0.9642399069298033, 0.9487687501225256, 0.9211823459112287, 0.9197356047787353, 0.9197356047787353, 0.8727118423539071, 0.7823280891598942, 0.6015270390275004, 0.9899689902687503, 0.9899689902687503, 0.9865818612351538, 0.9820468499925501, 0.9818184242153394, 0.9750423446891116, 0.9642381592659169, 0.9642381592659169, 0.9451587182200865, 0.9180967640239617, 0.9180967640239617, 0.8675577982835696, 0.8675577982835696, 0.8648427353064436, 0.8648427353064436, 0.7739184629823983, 0.7739184629823983, 0.5886347673347849, 0.9824433730653018, 0.9754767953139644, 0.9647247190339813, 0.9475337342135124, 0.9189217021737907, 0.8690615575573514, 0.777449138796499, 0.777449138796499, 0.777449138796499, 0.772408598493938, 0.5984476299644979, 0.5984476299644979, 0.5984476299644979]","[0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.009, 0.009, 0.01, 0.004, 0.004, 0.005, 0.004, 0.004, 0.005, 0.005, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.009, 0.005, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.004, 0.004, 0.004, 0.006, 0.005, 0.01, 0.005, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.005, 0.006, 0.004, 0.01, 0.01, 0.01]"
FC,"[-9.01576733657535, 0.15530154317107392, -17.478095220603198, -0.7110808063444136]","[0.42221310046012644, 0.008530150366820487, 1.8878221932642507, 0.03750670012001928]",0.9757597388710185,522.2092293999738,9.003607403447823,"[0.0012386055066164747, 1.4365056677401178e-05, 0.001014365056677402, -0.005939891679440756, -0.005742430221635453, -0.010263547058440237, -0.011462136600427941, -0.009086757543794732, -0.008324523375613402, 0.001675476624386607, -0.010567040418223206, -0.004625449594575781, 0.011480848727972504, 0.02264964192194263, 0.008649641921942619, -0.004694007282970647, -0.0006606892940159703, 0.004440040679360768, 0.0069542414684743425, 0.008026674164717473, 0.0007214058046631777, -0.013792848501692934, -0.006435643001405422, -0.011383849876108632, -0.003861132485876273, -0.0032492876753950073, -0.010804802263003399, -0.001804802263003391, 0.0009245116808619391, -0.0034101445962347876, 0.035295916021717666, 0.0004607118934525367, 0.0024607118934525385, 0.007916442822553327, -0.0014435225903070004, 0.0017903467005403462, 0.006726873755454332, -0.0062385121539833, -0.00023851215398329462, -0.017872429157532954, 0.003320953588196285, 0.001320953588196283, -0.010649475960676003, 0.0073505240393240134, 0.019013837968666514, -0.0029861620313335058, -0.01896606063504014, 0.003033939364959881, -0.10287422920349776, 0.008176823592466187, 0.004628855892787942, -0.005951205274848381, 0.0061073238373996475, 0.011693898581644158, 0.00015940298733319036, 0.01629261391654635, 0.06229261391654628, -0.021707386083453684, 0.0001747702375347604, 0.0050314156049470204, -0.06496858439505293, -0.024968584395053006]","[0.9917613944933835, 0.9889856349433226, 0.9889856349433226, 0.9849398916794407, 0.9847424302216354, 0.9782635470584402, 0.9694621366004279, 0.9550867575437947, 0.9543245233756134, 0.9543245233756134, 0.9275670404182232, 0.8816254495945758, 0.7955191512720275, 0.6323503580780574, 0.6323503580780574, 0.6226940072829706, 0.990660689294016, 0.9875599593206392, 0.9910457585315257, 0.9879733258352825, 0.9832785941953368, 0.9767928485016929, 0.9664356430014054, 0.9653838498761086, 0.9498611324858762, 0.922249287675395, 0.9208048022630034, 0.9208048022630034, 0.8740754883191381, 0.7854101445962348, 0.6117040839782824, 0.9905392881065475, 0.9905392881065475, 0.9870835571774467, 0.982443522590307, 0.9822096532994596, 0.9752731262445457, 0.9642385121539833, 0.9642385121539833, 0.944872429157533, 0.9176790464118038, 0.9176790464118038, 0.867649475960676, 0.867649475960676, 0.8649861620313335, 0.8649861620313335, 0.7769660606350401, 0.7769660606350401, 0.6028742292034978, 0.9818231764075338, 0.974371144107212, 0.9629512052748483, 0.9448926761626003, 0.9153061014183559, 0.8648405970126668, 0.7747073860834537, 0.7747073860834537, 0.7747073860834537, 0.7698252297624653, 0.604968584395053, 0.604968584395053, 0.604968584395053]","[0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.009, 0.009, 0.01, 0.004, 0.004, 0.005, 0.004, 0.004, 0.005, 0.005, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.009, 0.005, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.004, 0.004, 0.004, 0.006, 0.005, 0.01, 0.005, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.005, 0.006, 0.004, 0.01, 0.01, 0.01]"
