Model,c_0,c_0_err,c_1,c_1_err,c_2,c_2_err,c_3,c_3_err,Reduced_chi2
PA,6.843675784300511,0.0901712562123878,0.2187629261179567,0.002666930847111326,-12.086687259423616,0.11941535659659927,,,16.274291266429785
PC,-5.289972397546014,0.04057452357721021,0.22403051582225636,0.0026946738408807434,-11.117320726625277,0.1058118118148284,,,13.43760984167171
FA,-7.0283800439540265,0.2203404640071071,0.1024731246355417,0.003990059808798249,-9.418682686196878,1.0183983372231815,0.5072809018082,0.017872773807993382,7.966287159450036
FC,-9.01576733657535,0.42221310046012644,0.15530154317107392,0.008530150366820487,-17.478095220603198,1.8878221932642507,-0.7110808063444136,0.03750670012001928,9.003607403447823
