model,params,errors,r_squared,chi_squared,reduced_chi_squared
PA,[  6.84367578   0.21876293 -12.08668726],[0.09017126 0.00266693 0.11941536],0.9619336540704,960.1831847193573,16.274291266429785
PC,[ -5.2899724    0.22403052 -11.11732073],[0.04057452 0.00269467 0.10581181],0.9655785703778879,792.818980658631,13.43760984167171
FA,[-7.02838004  0.10247312 -9.41868269  0.5072809 ],[0.22034046 0.00399006 1.01839834 0.01787277],0.9794045402007986,462.04465524810206,7.966287159450036
FC,[ -9.01576734   0.15530154 -17.47809522  -0.71108081],[0.4222131  0.00853015 1.88782219 0.0375067 ],0.9757597388710185,522.2092293999738,9.003607403447823
